date,time,tempC,windspeedKmph,winddirDegree,weatherDesc,precipMM,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC

2015-01-01,0,-6,9,263,Mist,0.0,96,2,1011,100,-6,-7,-10,12,-10

2015-01-01,1200,-2,8,245,Light snow,0.0,97,10,1011,98,-2,-2,-6,13,-6

2015-01-02,0,1,17,263,Light rain,1.1,97,9,1006,100,1,0,-4,27,-4

2015-01-02,1200,1,14,232,Moderate snow,0.2,97,5,1001,84,1,0,-4,21,-4

2015-01-03,0,0,17,221,Heavy snow,1.4,94,2,987,100,0,-1,-5,28,-5

2015-01-03,1200,1,18,225,Patchy heavy snow,0.7,92,5,987,72,1,-0,-5,28,-5

2015-01-04,0,-1,17,214,Moderate snow,0.1,94,5,982,100,-1,-2,-7,27,-7

2015-01-04,1200,-1,14,223,Overcast,0.0,93,10,982,100,-1,-2,-6,19,-6

2015-01-05,0,-6,15,321,Heavy snow,0.7,91,2,989,100,-6,-7,-13,21,-13

2015-01-05,1200,-11,17,336,Moderate snow,0.2,86,5,1000,100,-11,-13,-19,22,-19

2015-01-06,0,-18,19,350,Moderate snow,0.2,87,5,1011,100,-18,-19,-28,25,-28

2015-01-06,1200,-18,19,346,Partly cloudy,0.0,81,10,1021,43,-18,-20,-28,28,-28

2015-01-07,0,-19,13,359,Mist,0.0,95,2,1028,59,-19,-20,-27,22,-27

2015-01-07,1200,-20,7,330,Mist,0.0,95,2,1033,55,-20,-21,-27,12,-27

2015-01-08,0,-18,12,273,Partly cloudy,0.0,91,10,1032,46,-18,-19,-26,24,-26

2015-01-08,1200,-12,18,235,Overcast,0.0,87,10,1023,88,-12,-14,-21,29,-21

2015-01-09,0,-11,10,211,Heavy snow,0.5,96,2,1012,100,-11,-12,-19,14,-19

2015-01-09,1200,-10,17,184,Heavy snow,1.5,95,2,998,100,-10,-10,-18,25,-18

2015-01-10,0,-8,9,230,Heavy snow,0.8,97,2,986,100,-8,-9,-13,14,-13

2015-01-10,1200,-2,4,265,Heavy snow,0.9,96,2,993,98,-2,-3,-6,6,-6

2015-01-11,0,-3,12,185,Moderate snow,0.2,96,5,991,100,-3,-4,-9,20,-9

2015-01-11,1200,-3,11,184,Heavy snow,2.3,96,2,981,100,-3,-3,-7,16,-7

2015-01-12,0,-2,12,209,Heavy snow,0.6,94,2,985,99,-2,-2,-7,17,-7

2015-01-12,1200,-1,15,239,Overcast,0.0,90,10,990,100,-1,-2,-6,22,-6

2015-01-13,0,-7,16,259,Overcast,0.0,94,10,1002,100,-7,-8,-14,23,-14

2015-01-13,1200,1,21,252,Blizzard,2.8,97,0,996,97,1,0,-5,33,-5

2015-01-14,0,-4,15,229,Cloudy,0.0,95,10,1007,72,-4,-4,-9,25,-9

2015-01-14,1200,1,17,249,Light drizzle,0.4,98,2,1006,90,1,1,-4,30,-4

2015-01-15,0,0,11,203,Light sleet,0.6,99,9,1009,100,0,0,-4,16,-4

2015-01-15,1200,0,9,243,Moderate snow,0.1,97,5,1013,97,0,-0,-4,14,-4

2015-01-16,0,-2,7,289,Freezing fog,0.0,97,0,1019,83,-2,-2,-6,12,-6

2015-01-16,1200,-2,10,189,Mist,0.0,97,2,1022,55,-2,-3,-7,17,-7

2015-01-17,0,-2,15,212,Light snow,0.0,95,10,1020,100,-2,-2,-8,24,-8

2015-01-17,1200,-1,15,205,Overcast,0.2,95,10,1018,100,-1,-2,-6,21,-6

2015-01-18,0,-1,12,203,Moderate snow,0.2,95,5,1014,100,-1,-2,-7,17,-7

2015-01-18,1200,-0,8,239,Light snow,0.1,96,10,1016,100,-0,-1,-5,11,-5

2015-01-19,0,-3,11,249,Freezing fog,0.0,98,0,1018,76,-3,-3,-8,19,-8

2015-01-19,1200,-1,10,293,Patchy light snow,0.0,96,10,1020,60,-1,-2,-5,14,-5

2015-01-20,0,-2,8,319,Freezing fog,0.0,98,0,1023,88,-2,-3,-6,14,-6

2015-01-20,1200,-7,11,43,Light snow,0.1,96,10,1030,74,-7,-8,-12,15,-12

2015-01-21,0,-14,8,88,Patchy light snow,0.0,97,10,1035,26,-14,-14,-19,13,-19

2015-01-21,1200,-12,6,106,Freezing fog,0.0,98,0,1035,34,-12,-12,-16,11,-16

2015-01-22,0,-15,4,117,Freezing fog,0.0,99,0,1035,50,-15,-15,-19,8,-19

2015-01-22,1200,-9,11,142,Freezing fog,0.0,97,0,1034,93,-9,-9,-14,18,-14

2015-01-23,0,-8,14,152,Moderate snow,0.2,97,5,1033,100,-8,-8,-14,22,-14

2015-01-23,1200,-4,13,165,Heavy snow,0.9,97,2,1031,100,-4,-5,-10,19,-10

2015-01-24,0,-2,21,174,Heavy snow,2.9,97,2,1027,100,-2,-3,-9,33,-9

2015-01-24,1200,0,13,201,Heavy snow,3.6,98,2,1025,100,0,-0,-5,20,-5

2015-01-25,0,-5,11,159,Heavy snow,0.6,99,2,1031,100,-5,-5,-10,15,-10

2015-01-25,1200,-11,12,156,Partly cloudy,0.0,96,10,1032,56,-11,-11,-18,18,-18

2015-01-26,0,-12,13,154,Moderate snow,0.1,98,5,1030,100,-12,-12,-19,19,-19

2015-01-26,1200,-9,8,182,Light snow,0.1,97,10,1025,100,-9,-9,-14,12,-14

2015-01-27,0,-10,8,145,Light snow,0.0,99,10,1024,100,-10,-10,-15,11,-15

2015-01-27,1200,-6,9,177,Heavy snow,0.3,97,2,1020,100,-6,-6,-10,12,-10

2015-01-28,0,-8,8,219,Heavy snow,0.5,99,2,1017,100,-8,-8,-12,13,-12

2015-01-28,1200,-6,12,187,Freezing fog,0.0,98,0,1014,100,-6,-6,-11,16,-11

2015-01-29,0,-4,12,174,Moderate snow,0.2,98,5,1010,100,-4,-5,-10,17,-10

2015-01-29,1200,-2,17,188,Heavy snow,0.3,96,2,1008,100,-2,-2,-7,24,-7

2015-01-30,0,-3,15,163,Heavy snow,0.4,97,2,1008,100,-3,-4,-9,21,-9

2015-01-30,1200,-2,17,158,Heavy snow,0.4,97,2,1007,100,-2,-2,-8,24,-8

2015-01-31,0,-2,19,157,Heavy snow,0.9,97,2,1005,100,-2,-2,-8,30,-8

2015-01-31,1200,1,22,146,Overcast,0.0,100,10,1000,100,1,1,-5,37,-5

2015-02-01,0,0,30,144,Blizzard,2.1,98,0,994,100,0,0,-6,47,-6

2015-02-01,1200,-0,14,193,Light snow,0.1,94,10,999,70,-0,-1,-6,22,-6

2015-02-02,0,-5,7,89,Freezing fog,0.0,98,0,997,45,-5,-6,-8,15,-8

2015-02-02,1200,-3,9,290,Partly cloudy,0.0,95,10,997,32,-3,-3,-7,14,-7

2015-02-03,0,-8,6,150,Freezing fog,0.0,98,0,1007,54,-8,-8,-12,13,-12

2015-02-03,1200,-3,21,32,Heavy snow,1.8,96,2,1002,100,-3,-4,-10,30,-10

2015-02-04,0,-5,8,345,Heavy snow,0.6,98,2,1006,100,-5,-5,-10,11,-10

2015-02-04,1200,-4,13,6,Moderate snow,0.2,95,5,1011,100,-4,-5,-10,17,-10

2015-02-05,0,-7,16,331,Moderate snow,0.1,97,5,1017,100,-7,-8,-13,23,-13

2015-02-05,1200,-5,12,346,Overcast,0.0,94,10,1021,100,-5,-6,-11,16,-11

