,date,maxtempC,mintempC,avgtempC,sunHour,humidity,DewPointC,maxtempC_lg1,mintempC_lg1,avgtempC_lg1,sunHour_lg1,humidity_lg1,DewPointC_lg1,maxtempC_lg2,mintempC_lg2,avgtempC_lg2,sunHour_lg2,humidity_lg2,DewPointC_lg2,maxtempC_lg3,mintempC_lg3,avgtempC_lg3,sunHour_lg3,humidity_lg3,DewPointC_lg3
3,2010-01-04,-14,-21,-17,2.8,99,-17,-18.0,-20.0,-19.0,2.8,99.0,-18.0,-9.0,-13.0,-10.0,2.8,98.0,-10.0,-7.0,-13.0,-9.0,2.8,98.0,-7.0
4,2010-01-05,-13,-16,-14,2.8,98,-14,-14.0,-21.0,-17.0,2.8,99.0,-17.0,-18.0,-20.0,-19.0,2.8,99.0,-18.0,-9.0,-13.0,-10.0,2.8,98.0,-10.0
5,2010-01-06,-13,-16,-14,2.8,98,-14,-13.0,-16.0,-14.0,2.8,98.0,-14.0,-14.0,-21.0,-17.0,2.8,99.0,-17.0,-18.0,-20.0,-19.0,2.8,99.0,-18.0
6,2010-01-07,-9,-14,-10,2.8,97,-11,-13.0,-16.0,-14.0,2.8,98.0,-14.0,-13.0,-16.0,-14.0,2.8,98.0,-14.0,-14.0,-21.0,-17.0,2.8,99.0,-17.0
7,2010-01-08,-5,-8,-6,2.9,99,-6,-9.0,-14.0,-10.0,2.8,97.0,-11.0,-13.0,-16.0,-14.0,2.8,98.0,-14.0,-13.0,-16.0,-14.0,2.8,98.0,-14.0
8,2010-01-09,-8,-17,-11,2.9,98,-9,-5.0,-8.0,-6.0,2.9,99.0,-6.0,-9.0,-14.0,-10.0,2.8,97.0,-11.0,-13.0,-16.0,-14.0,2.8,98.0,-14.0
9,2010-01-10,-13,-19,-15,7.7,97,-13,-8.0,-17.0,-11.0,2.9,98.0,-9.0,-5.0,-8.0,-6.0,2.9,99.0,-6.0,-9.0,-14.0,-10.0,2.8,97.0,-11.0
10,2010-01-11,-9,-19,-15,7.7,90,-13,-13.0,-19.0,-15.0,7.7,97.0,-13.0,-8.0,-17.0,-11.0,2.9,98.0,-9.0,-5.0,-8.0,-6.0,2.9,99.0,-6.0
11,2010-01-12,-8,-15,-11,7.7,96,-9,-9.0,-19.0,-15.0,7.7,90.0,-13.0,-13.0,-19.0,-15.0,7.7,97.0,-13.0,-8.0,-17.0,-11.0,2.9,98.0,-9.0
12,2010-01-13,-7,-15,-9,2.9,98,-7,-8.0,-15.0,-11.0,7.7,96.0,-9.0,-9.0,-19.0,-15.0,7.7,90.0,-13.0,-13.0,-19.0,-15.0,7.7,97.0,-13.0
